date,location,min,max
2019-10-04,Lions Sight,1.9608300907911804,2.0786967418546367
2019-10-04,Malaria,4.106409202958094,4.687082013375572
2019-10-04,Ward 6B,1.915791271671364,2.2106960246902205
2019-10-05,Lighthouse Clinic,1.6464811783960722,2.6246133451171008
2019-10-05,Lions Sight,1.8074712643678161,2.691746561067111
2019-10-05,Malaria,2.0431345980126467,3.9717568214456676
2019-10-05,Mercy James,1.6102362204724407,1.9911420436570704
2019-10-05,Ward 6B,1.4357440638027914,2.2208093687201167
2019-10-06,Lighthouse Clinic,1.7330529440870857,2.7645130183220834
2019-10-06,Lions Sight,1.782125205930807,2.299044406970208
2019-10-06,Malaria,1.782125205930807,2.299044406970208
2019-10-06,Mercy James,1.726829268292683,2.028985507246377
2019-10-06,Ward 6B,1.4142001710863987,2.2175422974176313
2019-10-07,Lighthouse Clinic,1.6670329670329669,2.3282834850455134
2019-10-07,Lions Sight,2.176767676767677,3.7083567021873254
2019-10-07,Malaria,2.176767676767677,3.7083567021873254
2019-10-07,Mercy James,1.7988095238095236,3.7083567021873254
2019-10-07,Ward 6B,1.375,2.1797616991883957
2019-10-08,Guardian Shelter,1.132409972299169,1.6133407448582544
2019-10-08,Lighthouse Clinic,2.240843794486864,3.466101694915254
2019-10-08,Lions Sight,2.5425584868093583,3.740034662045061
2019-10-08,Malaria,2.5425584868093583,3.740034662045061
2019-10-08,Mercy James,2.5425584868093583,3.740034662045061
2019-10-08,Ward 6B,2.6864864864864866,3.8407798537774167
2019-10-09,Administration,3.453451551614946,4.687082013375572
2019-10-09,Guardian Shelter,1.2145388788426763,4.7424982554082344
2019-10-09,Lighthouse Clinic,2.7879818594104306,4.592024539877301
2019-10-09,Lions Sight,3.3497735279315557,4.820019723865877
2019-10-09,Malaria,3.3497735279315557,4.820019723865877
2019-10-09,Mercy James,2.3448648648648653,4.750617283950618
2019-10-09,Ward 6B,2.041901692183723,3.9406270847231486
2019-10-09,uMoyo,2.3448648648648653,3.0952380952380953
2019-10-10,Administration,1.8320855614973264,4.415963431786216
2019-10-10,Guardian Shelter,1.1674581354661335,6.883226125680356
2019-10-10,Lighthouse Clinic,1.9533022014676453,3.3851974462047765
2019-10-10,Lions Sight,1.668831168831169,4.521564117308799
2019-10-10,Malaria,1.2889147512365435,4.521564117308799
2019-10-10,Mercy James,2.310677203302739,3.079881656804734
2019-10-10,Ward 6B,1.3017543859649123,3.6555462885738113
2019-10-10,uMoyo,1.4781827515400412,3.079881656804734
2019-10-11,Administration,1.6671018276762402,2.069493006993007
2019-10-11,Guardian Shelter,0.8428847392144236,10.175627965549035
2019-10-11,Lighthouse Clinic,1.8074712643678161,2.5597435897435896
2019-10-11,Lions Sight,1.9206543967280163,2.5597435897435896
2019-10-11,Malaria,1.4075568598679384,1.8394811511957847
2019-10-11,Mercy James,1.5141805404500963,2.3648201515636673
2019-10-11,Ward 6B,1.4083302342878394,2.2106960246902205
2019-10-11,uMoyo,1.4075568598679384,2.5597435897435896
2019-10-12,Administration,1.4370818044463631,2.0709812108559498
2019-10-12,Guardian Shelter,1.2159732385532094,2.3648201515636673
2019-10-12,Lighthouse Clinic,1.2145388788426763,3.4274475524475525
2019-10-12,Lions Sight,1.8074712643678161,2.691746561067111
2019-10-12,Malaria,2.0752324598478444,4.102203182374541
2019-10-12,Mercy James,1.8653061224489798,2.9304387213666367
2019-10-12,Ward 6B,1.4357440638027914,2.2208093687201167
2019-10-12,uMoyo,1.8074712643678161,2.691746561067111
2019-10-13,Administration,1.7739357080799305,4.687082013375572
2019-10-13,Guardian Shelter,1.075066154502774,1.9676473667678778
2019-10-13,Lighthouse Clinic,1.2284213386468619,2.928740024727436
2019-10-13,Lions Sight,1.782125205930807,2.299044406970208
2019-10-13,Malaria,1.9206543967280163,2.5597435897435896
2019-10-13,Mercy James,1.6839959225280325,4.2964705882352945
2019-10-13,Ward 6B,1.7739357080799305,4.687082013375572
2019-10-13,uMoyo,1.782125205930807,2.52750071245369
2019-10-14,Administration,2.691746561067111,4.6537216828478964
2019-10-14,Guardian Shelter,1.4182361733931244,8.523142613151151
2019-10-14,Lighthouse Clinic,1.4528357331766089,3.839753209938303
2019-10-14,Lions Sight,2.034798534798535,4.009779951100245
2019-10-14,Malaria,1.3924281033855115,2.691746561067111
2019-10-14,Mercy James,1.7447108603667139,4.6027554535017225
2019-10-14,Ward 6B,1.8517287234042552,2.8421774931381516
2019-10-15,Administration,2.8567621585609593,5.257575757575758
2019-10-15,Guardian Shelter,1.4903906173001742,2.1907407407407407
2019-10-15,Lighthouse Clinic,1.4903906173001742,2.1907407407407407
2019-10-15,Lions Sight,1.9218523878437046,3.1399575886095126
2019-10-15,Malaria,1.4772541541814217,1.8659596405950805
2019-10-15,Mercy James,2.6468788249694004,4.907983761840326
2019-10-15,Ward 6B,1.568559774082209,1.8723650014438349
2019-10-16,Administration,2.0431345980126467,3.4231487243310514
2019-10-16,Guardian Shelter,1.4061068702290076,2.4408719346049046
2019-10-16,Lighthouse Clinic,1.4061068702290076,2.4408719346049046
2019-10-16,Lions Sight,1.9324572127139366,4.56043956043956
2019-10-16,Malaria,1.5377187688593845,3.0940499040307103
2019-10-16,Mercy James,2.2416927899686523,3.7642045454545454
2019-10-16,Ward 6B,1.438840674635664,1.814638783269962
2019-10-17,Administration,1.782125205930807,2.299044406970208
2019-10-17,Guardian Shelter,1.3896149770399153,1.6174068023169463
2019-10-17,Lighthouse Clinic,1.3896149770399153,4.5633608815427
2019-10-17,Lions Sight,2.5248933143669987,3.8359375000000004
2019-10-17,Malaria,1.2959989354151882,4.007343412526997
2019-10-17,Mercy James,1.6671018276762402,4.687082013375572
2019-10-17,Ward 6B,1.4299065420560746,2.2106960246902205
2019-10-17,uMoyo,2.5490769230769232,4.2999212805038045
2019-10-18,Administration,2.0783312047679865,3.36384096024006
2019-10-18,Guardian Shelter,1.200809276482667,1.9253731343283582
2019-10-18,Lighthouse Clinic,2.1675,4.346833998859099
2019-10-18,Lions Sight,2.089260808926081,4.258702531645569
2019-10-18,Malaria,1.918388944223108,3.7312318540024885
2019-10-18,Mercy James,1.924378635642517,3.7312318540024885
2019-10-18,Ward 6B,1.4357440638027914,2.2208093687201167
2019-10-18,uMoyo,1.4062842528315673,3.9402439024390246
2019-10-19,Administration,1.5455230914231857,2.741878841088674
2019-10-19,Guardian Shelter,1.4044023136246786,2.010659060201171
2019-10-19,Lighthouse Clinic,1.8587360594795541,3.6628926223520817
2019-10-19,Lions Sight,2.2112013681060283,2.7583309185743263
2019-10-19,Malaria,1.4949823704909138,1.9836065573770492
2019-10-19,Mercy James,1.5567456230690007,2.8764616166751398
2019-10-19,Ward 6B,1.4230505373885205,2.3309937199852233
2019-10-19,uMoyo,1.4357440638027914,2.2208093687201167
2019-10-20,Administration,1.630334486735871,2.4479969183359014
2019-10-20,Guardian Shelter,1.1247425449986568,2.9822014051522245
2019-10-20,Lighthouse Clinic,1.8498727735368954,3.0863254392666155
2019-10-20,Lions Sight,2.2580133291018725,3.3889591234723975
2019-10-20,Malaria,1.481736140954018,2.113576532531027
2019-10-20,Mercy James,1.7517699115044245,2.202054794520548
2019-10-20,Ward 6B,1.8078838174273857,3.1055301877219685
2019-10-20,uMoyo,1.1825721426948421,3.9315375982042644
2019-10-21,Administration,1.6671335200746968,3.4624329159212874
2019-10-21,Guardian Shelter,1.1456947608200456,3.275206315034087
2019-10-21,Lighthouse Clinic,1.6993118051879303,3.1523500810372767
2019-10-21,Lions Sight,2.703435804701628,3.616422287390029
2019-10-21,Malaria,1.5118657937806874,2.299044406970208
2019-10-21,Mercy James,2.703435804701628,3.616422287390029
2019-10-21,Ward 6B,1.85929993136582,3.7891472868217058
2019-10-21,uMoyo,1.5166402535657686,1.8800439198462804
2019-10-22,Administration,2.1130434782608694,2.686453576864536
